type-nn fair hold-out board
===========================

Split: xorshift32 Fisher-Yates, seed 34972, 70/30. Same cut for every impl.
Board models: the three scale probes (energy, jac, mix), the Or/And
spawn they drive, and the depth probes (early / hold / born).
c-mlp is the only non-type-nn row (Linear-ReLU-Linear baseline).
or+/or- = dummy Or (×1) promoted / collapsed.
and+/and- = dummy And (product ≡ 1) promoted / collapsed.
L+/L- = identity layer insert / drop.
us/infer = mean microseconds per forward over >=200 ms wall (never 0).
hold_acc is n/a on diabetes (regression) only. XOR prints threshold acc
on all 4 points (no 70/30 cut exists).
Sorted by (hold_mse, params, train_s, mse, hold_acc asc, acc asc).

task         impl                         hold_mse  params   train_s      mse  hold_acc     acc   nbytes    us/infer  or+ or- and+ and-  L+  L-
diabetes     type-nn-winner                0.03214      17   0.0742  0.02647    n/a    n/a    3808   0.000001    1   1    1    0   0   0
diabetes     type-nn-scale-sched-tight     0.03271      22   0.0731  0.02565    n/a    n/a    3808   0.000001    1   1    1    0   0   0
diabetes     type-nn-scale-sched-wide      0.03280      25   0.0683  0.02561    n/a    n/a    3808   0.000001    1   1    1    0   0   0
diabetes     type-nn-depth-early           0.03350     506   0.3817  0.02205    n/a    n/a   34776   0.000001    5   6    1    0   1   0
diabetes     type-nn-depth-hold            0.03364      66   0.0733  0.02542    n/a    n/a    5232   0.000001  839 1065  226  225   0   0
diabetes     type-nn-scale-mix             0.03474      33   0.0482  0.02521    n/a    n/a    3048   0.000001   12  11    0    0   0   0
diabetes     type-nn-scale-energy          0.03474      33   0.0495  0.02521    n/a    n/a    3048   0.000001   12  11    0    0   0   0
diabetes     type-nn-scale-mix+slim-budge  0.03474      33   0.0504  0.02521    n/a    n/a    3048   0.000001   12  11    0    0   0   0
diabetes     type-nn-scale-mix+depth-hold  0.03602     140   0.1318  0.02405    n/a    n/a   10680   0.000001    9   6    0    0   1   0
diabetes     type-nn-scale-jac+slim-prune  0.04089       6   0.0356  0.03538    n/a    n/a    1488   0.000001    0   0    0    0   0   0
diabetes     type-nn-scale-mix+slim-prune  0.04149       5   0.0333  0.03403    n/a    n/a    1432   0.000001    2   2    0    0   0   0
diabetes     type-nn-scale-jac+slim-k      0.04478       8   0.0351  0.04058    n/a    n/a    1600   0.000001    0   0    0    0   0   0
diabetes     type-nn-scale-mix+slim-k      0.04691       6   0.0342  0.04175    n/a    n/a    1488   0.000001    1   1    0    0   0   0
diabetes     c-mlp                         0.04794     193   0.0899  0.01657    n/a    n/a    1544   0.000001    0   0    0    0   0   0
diabetes     type-nn-scale-mix+slim-cap+s  0.04881       4   0.0351  0.04706    n/a    n/a    1376   0.000001    0   0    0    0   0   0
diabetes     type-nn-depth-born            0.05153    1247   1.2408  0.01249    n/a    n/a   82080   0.000001    2   2    1    0   1   0

ionosphere   type-nn-depth-born            0.07238    5867  11.4279  0.00823  0.906  0.992  354336   0.000001   14  15    5    3   1   0
ionosphere   type-nn-depth-hold            0.10080    2623   5.3200  0.00725  0.887  0.992  168144   0.000001    7   6    3    1   1   0
ionosphere   type-nn-scale-mix+depth-hold  0.11335    2487   5.2228  0.00562  0.877  0.996  159824   0.000001   12   7    0    0   1   0
ionosphere   type-nn-depth-early           0.11748    4869   9.9673  0.00454  0.868  0.996  307952   0.000001   10  10    4    2   1   0
ionosphere   type-nn-scale-mix+depth-hold  0.12162    1212   2.5207  0.00241  0.868  1.000   81624   0.000001    9   4    0    0   1   0
ionosphere   type-nn-scale-jac+depth-earl  0.12460    2317   5.1205  0.01159  0.830  0.988  149784   0.000001    0   0    0    0   1   0
ionosphere   type-nn-scale-sched           0.14698      24   0.1830  0.07219  0.877  0.910    4600   0.000001  188  68   36   36   0   0
ionosphere   type-nn-winner                0.14698      24   0.1921  0.07219  0.877  0.910    4600   0.000001  188  68   36   36   0   0
ionosphere   type-nn-scale-sched-wide      0.14714      24   0.1833  0.07231  0.877  0.910    4600   0.000001  188  68   36   36   0   0
ionosphere   type-nn-scale-mix+slim-k      0.16113      15   0.0771  0.12462  0.830  0.853    3720   0.000001    9   5    0    0   0   0
ionosphere   c-mlp                         0.16790     577   0.1478  0.01527  0.943  0.992    4616   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-jac+slim-k      0.17650       8   0.0654  0.14761  0.830  0.841    3136   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-mix+slim-cap+s  0.20479       4   0.0624  0.16423  0.764  0.816    2912   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-sched-tight     0.23286     126   0.3034  0.00998  0.906  0.996   14832   0.000001   87  44   21   19   0   0
ionosphere   type-nn-scale-jac+slim-cap+s  0.24062      70   0.1178  0.09123  0.755  0.910    6608   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-jac             0.24062      70   0.1192  0.09123  0.755  0.910    6608   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-mix+slim-cap    0.24062      70   0.1219  0.09123  0.755  0.910    6608   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-jac+slim-cap    0.24062      70   0.1244  0.09123  0.755  0.910    6608   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-jac+slim-budge  0.24062      70   0.1261  0.09123  0.755  0.910    6608   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-jac+slim-prune  0.24737      15   0.0704  0.15858  0.679  0.812    3528   0.000001    0   0    0    0   0   0
ionosphere   type-nn-scale-mix+slim-prune  0.27779      20   0.0797  0.13752  0.679  0.857    4000   0.000001    4   0    0    0   0   0
ionosphere   type-nn-scale-mix             1.56501     410   0.3346  1.68573  0.500  0.482   26688   0.000001   26  16    0    0   0   0
ionosphere   type-nn-scale-energy          1.56501     410   0.3355  1.68573  0.500  0.482   26688   0.000001   26  16    0    0   0   0
ionosphere   type-nn-scale-mix+slim-budge  1.56501     410   0.3525  1.68573  0.500  0.482   26688   0.000001   26  16    0    0   0   0

